Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,43.060001,43.400002,42.299999,42.730000,41.949337,1808000
2019-07-26,42.820000,43.580002,42.150002,43.240002,42.450024,2150400
2019-07-29,43.000000,43.060001,41.849998,42.540001,41.762806,2778600
2019-07-30,42.070000,42.779999,41.950001,42.020000,41.252312,2442300
2019-07-31,42.080002,42.189999,40.619999,41.060001,40.309849,3339100
2019-08-01,41.230000,41.349998,38.349998,39.340000,38.621269,4781800
2019-08-02,38.950001,40.060001,38.910000,39.360001,38.640907,4191300
2019-08-05,38.599998,38.720001,37.450001,38.560001,37.855522,3239900
2019-08-06,38.750000,39.970001,38.750000,39.889999,39.161224,3390000
2019-08-07,39.330002,40.380001,39.000000,40.360001,39.622639,3351400
2019-08-08,40.900002,41.430000,40.290001,40.529999,39.789532,29034000
2019-08-09,40.369999,41.070000,40.139999,40.919998,40.172405,3104800
2019-08-12,40.509998,40.540001,39.090000,39.240002,38.523102,2648600
2019-08-13,39.049999,41.000000,38.770000,40.099998,39.367382,2166700
2019-08-14,38.779999,38.970001,37.930000,37.959999,37.266483,3658800
2019-08-15,38.200001,38.270000,36.820000,37.020000,36.343655,3286700
2019-08-16,37.330002,39.090000,37.330002,38.799999,38.091137,2795700
2019-08-19,39.299999,40.150002,39.299999,39.570000,38.847069,3842000
2019-08-20,39.349998,39.720001,39.060001,39.209999,38.493645,2568500
2019-08-21,39.740002,40.259998,39.419998,39.759998,39.033596,2674600
2019-08-22,40.459999,42.060001,40.099998,41.930000,41.163952,5184800
2019-08-23,37.009998,38.150002,33.740002,34.000000,33.378830,23540000
2019-08-26,33.860001,35.709999,33.119999,35.689999,35.037956,8357800
2019-08-27,36.000000,36.000000,35.130001,35.320000,34.674713,3592300
2019-08-28,35.090000,35.950001,34.750000,35.730000,35.077225,3065900
2019-08-29,36.139999,36.459999,35.759998,35.840000,35.185215,4282800
2019-08-30,36.090000,36.990002,35.970001,36.189999,35.528816,3663500
2019-09-03,35.900002,36.610001,34.790001,36.509998,35.842972,4395300
2019-09-04,36.910000,38.570000,36.790001,38.400002,37.698448,4170500
2019-09-05,38.830002,40.400002,38.810001,40.189999,39.455742,3928000
2019-09-06,40.369999,40.849998,39.299999,39.400002,38.680176,3523600
2019-09-09,39.480000,41.150002,39.360001,40.959999,40.211674,3875700
2019-09-10,41.049999,42.490002,41.000000,42.230000,41.458469,3658700
2019-09-11,42.099998,42.279999,40.900002,41.360001,40.604370,2626400
2019-09-12,41.029999,41.520000,40.090000,40.520000,39.779713,2764100
2019-09-13,41.259998,41.349998,40.080002,40.310001,39.573551,2995700
2019-09-16,40.099998,40.689999,39.820000,40.009998,39.279030,2261200
2019-09-17,40.049999,40.439999,39.410000,40.240002,39.504833,1845400
2019-09-18,40.200001,40.540001,39.840000,40.470001,39.730629,1613700
2019-09-19,40.599998,40.820000,40.270000,40.709999,39.966240,1783800
2019-09-20,40.939999,41.520000,39.779999,39.779999,39.053230,3907200
2019-09-23,39.669998,40.490002,39.599998,40.279999,39.544098,2398300
2019-09-24,40.490002,40.939999,39.630001,39.790001,39.063049,2424600
2019-09-25,40.250000,41.509998,40.090000,40.910000,40.162586,2866200
2019-09-26,40.840000,41.320000,39.970001,41.250000,40.496376,2590900
2019-09-27,41.320000,42.320000,41.040001,42.009998,41.242489,2562000
2019-09-30,42.200001,43.220001,42.110001,43.160000,42.371479,2628100
2019-10-01,43.299999,43.860001,41.770000,41.910000,41.144318,2224000
2019-10-02,41.770000,42.040001,40.980000,41.380001,40.624004,2516600
2019-10-03,41.299999,41.630001,40.040001,41.450001,40.692722,1624300
2019-10-04,41.520000,41.849998,40.860001,41.619999,40.859615,1406900
2019-10-07,41.369999,41.740002,41.099998,41.430000,40.673088,1210600
2019-10-08,40.759998,41.400002,40.139999,40.849998,40.103683,1451600
2019-10-09,41.230000,41.680000,40.720001,41.470001,40.712357,1557000
2019-10-10,41.599998,42.299999,41.540001,41.990002,41.222858,1540100
2019-10-11,42.590000,43.310001,42.470001,42.959999,42.175133,1839500
2019-10-14,43.000000,43.150002,42.299999,42.889999,42.106415,1825900
2019-10-15,43.189999,44.230000,43.139999,43.959999,43.156864,2311600
2019-10-16,44.020000,44.470001,43.459999,44.020000,43.215771,1679500
2019-10-17,43.950001,44.770000,43.230000,44.180000,43.750519,3147800
2019-10-18,43.709999,44.500000,43.119999,44.400002,43.968384,2533300
2019-10-21,44.970001,45.450001,44.490002,45.169998,44.730892,2156600
2019-10-22,45.000000,45.189999,43.930000,44.959999,44.522934,1879900
2019-10-23,45.049999,45.320000,44.400002,45.020000,44.582355,1699200
2019-10-24,45.150002,45.259998,43.810001,44.119999,43.691101,1669200
2019-10-25,43.730000,45.000000,43.410000,44.340000,43.908962,1112100
2019-10-28,44.650002,45.000000,44.119999,44.340000,43.908962,1621200
2019-10-29,44.419998,45.000000,44.169998,44.240002,43.809937,1101600
2019-10-30,44.299999,44.400002,43.660000,43.950001,43.522755,1121600
2019-10-31,44.410000,44.410000,43.270000,43.509998,43.087032,1553000
2019-11-01,43.849998,44.759998,43.549999,44.279999,43.849545,1649200
2019-11-04,44.650002,44.799999,44.080002,44.529999,44.097115,2181200
2019-11-05,44.910000,46.419998,44.820000,45.869999,45.424088,3220000
2019-11-06,46.180000,46.750000,45.790001,46.200001,45.750885,1806600
2019-11-07,46.660000,47.110001,46.330002,46.480000,46.028160,1637600
2019-11-08,47.740002,47.860001,45.919998,46.630001,46.176704,1924400
2019-11-11,46.360001,46.599998,45.889999,46.200001,45.750885,1422400
2019-11-12,46.060001,46.230000,43.840000,45.369999,44.928951,1830000
2019-11-13,46.740002,46.740002,44.540001,45.779999,45.334965,2075100
2019-11-14,45.450001,45.799999,45.009998,45.529999,45.087395,1160100
2019-11-15,45.970001,46.200001,45.540001,45.700001,45.255745,1916000
2019-11-18,45.610001,45.799999,44.770000,44.900002,44.463520,2537800
2019-11-19,44.590000,45.099998,43.619999,43.709999,43.285088,2036800
2019-11-20,43.259998,43.549999,42.200001,42.369999,41.958115,3036700
2019-11-21,42.419998,42.500000,41.250000,41.459999,41.056961,4659400
2019-11-22,39.000000,40.320000,37.310001,40.250000,39.858723,17182900
2019-11-25,40.290001,40.740002,39.630001,40.169998,39.779499,4918000
2019-11-26,40.419998,41.290001,40.049999,40.419998,40.027069,2686300
